date,vol,return,return_lag1,return_lag2,dist_to_ma5,macd_hist,bb_pb,bb_bandwidth,rsi,label,rolling_volatility
2024-10-08,0.00585,0.0,-0.18908819133034382,0.0,-0.12273609314359646,-0.25381153982315313,-0.2310095758606759,0.23728729160741324,0.0,0,0.7479595708777019
2024-10-09,0.00311,0.0,0.0,-0.18908819133034382,-0.08531444950261347,-0.29745411660809473,-0.08005028517649851,0.2851765079150123,0.0,0,0.7018741835375364
2024-10-10,0.00535,0.0,0.0,0.0,-0.04455794293765414,-0.3075905158942112,0.012660282759548848,0.322600619018229,0.0,0,0.7018741835375364
2024-10-13,0.01287,0.0,0.0,0.0,0.0,-0.29549346444151825,0.07795142459664378,0.35269095761455044,0.0,0,0.7018741835375364
2024-10-14,0.00207,0.0,0.0,0.0,0.0,-0.26942157484819346,0.12778814276454217,0.37699413210791793,0.0,0,0.7018741835375364
2024-10-15,0.0047,0.0,0.0,0.0,0.0,-0.23534319271270338,0.1679339566549162,0.3963606472838,0.0,0,0.7018741835375364
2024-10-16,0.010130000000000002,0.0,0.0,0.0,0.0,-0.19749654652549287,0.20156659034216406,0.4112679384131875,0.0,0,0.7018741835375364
2024-10-17,0.00398,0.0,0.0,0.0,0.0,-0.15882187458684627,0.23061283541258737,0.42196037982309675,0.0,0,0.7018741835375364
2024-10-20,0.002,0.0,0.0,0.0,0.0,-0.12129361518006831,0.25633014137977295,0.42851427664472297,0.0,0,0.7018741835375364
2024-10-21,0.00117,0.0,0.0,0.0,0.0,-0.08617474562500427,0.27959231988302513,0.43086524499348744,0.0,0,0.7018741835375364
2024-10-22,0.0024900000000000005,0.0,0.0,0.0,0.0,-0.05421061444797537,0.30104439356144175,0.42881148729508334,0.0,0,0.7018741835375364
2024-10-23,0.00816,0.0,0.0,0.0,0.0,-0.02577586778737584,0.3211952074295687,0.4219954929476713,0.0,0,0.7018741835375364
2024-10-24,0.00321,0.0,0.0,0.0,0.0,-0.0009851189556628892,0.3404806326133737,0.4098581222615192,0.0,0,0.7018741835375364
2025-05-28,0.05643,-0.14193548387096766,0.0,0.0,-0.11686586985391756,-0.09827296761986506,-0.5621322893127785,0.1278583378946792,0.0,0,0.7958109591523042
2025-05-29,0.00731,0.0,-0.14193548387096766,0.0,-0.09028727770177836,-0.15449697308469743,-0.23100957586081494,0.1772632754911176,0.0,0,0.7958109591523042
2025-06-01,0.00215,0.0,0.0,-0.14193548387096766,-0.0620592383638926,-0.18106179818580886,-0.08005028517657706,0.21251538741501302,0.0,0,0.6738044946719456
2025-06-02,0.00375,0.0,0.0,0.0,-0.03202328966521106,-0.18723157513755395,0.01266028275949529,0.23980370513541313,0.0,0,0.6738044946719456
2025-06-03,0.00135,0.0,0.0,0.0,0.0,-0.17986796249134168,0.07795142459660383,0.26150519018124485,0.0,0,0.6738044946719456
2025-06-04,0.00235,0.0,0.0,0.0,0.0,-0.1639979407030965,0.12778814276450978,0.27880246931522445,0.0,0,0.6738044946719456
2025-06-10,0.0037400000000000003,0.0,0.0,0.0,0.0,-0.14325441474702993,0.16793395665488975,0.29235385386150947,0.0,0,0.6738044946719456
2025-06-11,0.00342,0.0,0.0,0.0,0.0,-0.12021717491310796,0.20156659034214144,0.30253743307523423,0.0,0,0.6738044946719456
2025-06-12,0.00135,0.0,0.0,0.0,0.0,-0.09667593057743579,0.2306128354125669,0.3095573061818864,0.0,0,0.6738044946719456
2025-06-15,0.00774,0.0,0.0,0.0,0.0,-0.07383251291107834,0.25633014137975485,0.31349338535932536,0.0,0,0.6738044946719456
2025-06-16,0.00122,0.0,0.0,0.0,0.0,-0.05245568995122052,0.2795923198830083,0.31432305897124924,0.0,0,0.6738044946719456
2025-06-17,0.00377,0.0,0.0,0.0,0.0,-0.03299915139572157,0.30104439356142637,0.3119250544118395,0.0,0,0.6738044946719456
2025-06-18,0.00151,0.0,0.0,0.0,0.0,-0.015690942063195157,0.3211952074295537,0.3060676806950944,0.0,0,0.6738044946719456
2025-06-19,0.00206,0.0,0.0,0.0,0.0,-0.0006008259703338403,0.3404806326133585,0.2963774100743446,0.0,0,0.6738044946719456
2025-06-30,0.11353,0.17937701396348005,0.0,0.0,0.13853172957279147,0.15568220260033055,1.5621322893129,0.15901351029639194,100.0,1,0.8710282195824299
2025-07-01,0.2505,0.1994535519125682,0.17937701396348005,0.0,0.2644009216589862,0.35946151988915226,1.4714285502029878,0.3848012454415516,100.0,1,1.0537450793325838
2025-07-02,0.60189,0.0349278663629462,0.1994535519125682,0.17937701396348005,0.20833333333333326,0.499599777824523,1.2431530810511702,0.5254120946146896,100.0,0,0.8885644683214085
2025-07-06,0.22164,-0.047688921496698455,0.0349278663629462,0.1994535519125682,0.08040619277509586,0.5205264778509773,1.011536512673551,0.586116025383397,86.9215291750503,1,0.9034157075491445
2025-07-07,0.37115,0.1879815100154083,-0.047688921496698455,0.0349278663629462,0.16500453309156837,0.661646866758544,1.1782972899499873,0.7346688050787331,91.22807017543859,0,1.0433518253182184
2025-07-09,0.22225,-0.07003891050583655,0.1879815100154083,-0.047688921496698455,0.03106125970664353,0.6445583636562509,0.956799900222931,0.7884068523492029,79.62308598351001,0,1.0707521132527407
2025-07-10,0.09462000000000001,-0.055090655509065445,-0.07003891050583655,0.1879815100154083,-0.031035469107551394,0.5462414432433839,0.823452499875621,0.8034537562326638,72.84482758620689,0,1.0876217894518236
2025-07-13,0.07892,-0.022140221402214055,-0.055090655509065445,-0.07003891050583655,-0.047310900201323114,0.4321917204734649,0.7610360106629268,0.803815109729683,70.56367432150313,0,1.0912010112536792
2025-07-14,0.03688,-0.028679245283018906,-0.022140221402214055,-0.055090655509065445,-0.07316721878150667,0.3081691914472411,0.6972777103283634,0.7924576554833082,67.8714859437751,0,1.0963707563407366
2025-07-15,0.03749,-0.026418026418026375,-0.028679245283018906,-0.022140221402214055,-0.05846107604448447,0.18624769320317358,0.6419197247100783,0.7732076441045097,65.63106796116503,1,1.1006841713587057
2025-07-16,0.40716,0.19952114924181963,-0.026418026418026375,-0.028679245283018906,0.11780455153949121,0.252852075828631,0.8783139989569287,0.7884027546799617,72.34374999999999,0,1.2335537786969661
2025-07-17,0.35585000000000006,-0.020625415834996552,0.19952114924181963,-0.026418026418026375,0.07602339181286566,0.2542253800789437,0.8096293372079783,0.7830531065871317,70.63310450038139,0,1.2369795937174408
2025-07-20,0.22890000000000002,-0.052989130434782705,-0.020625415834996552,0.19952114924181963,0.008829063540309656,0.1840673842016196,0.7037451702229085,0.7561850191698887,66.66666666666666,1,1.2512532550229623
2025-07-21,0.46354,0.11047345767575334,-0.052989130434782705,-0.020625415834996552,0.07949790794979084,0.22039020652572172,0.8352118058032142,0.7447435235592144,69.99351911860012,0,1.2832264598168257
2025-07-22,0.19238,-0.06589147286821706,0.11047345767575334,-0.052989130434782705,-0.01806328942007318,0.1576735072211355,0.7033879598179354,0.7057202117435499,61.77266576454669,0,1.3039055781146687
2025-07-23,0.08069,-0.03319502074688796,-0.06589147286821706,0.11047345767575334,-0.03692477266464589,0.07027063613055451,0.6308611565923934,0.6535946141059652,53.09869931140015,0,1.310243426859623
2025-07-27,0.04593,-0.01788268955650929,-0.03319502074688796,-0.06589147286821706,-0.041067188154770284,-0.013505344571868916,0.5814544411359456,0.5909021952076685,50.38880248833593,0,1.2308777154448227
2025-07-28,0.014039999999999999,0.0,-0.01788268955650929,-0.03319502074688796,-0.038246007284953754,-0.0746311879353263,0.5595199808728506,0.5165003215741322,53.07125307125307,0,1.2308777154448227
2025-07-29,0.05006,-0.05243991260014569,0.0,-0.01788268955650929,-0.0560150921491801,-0.1641346646810975,0.41412779836907954,0.4272483497075492,38.51286939942803,0,1.2459818883635505
2025-07-30,0.03632,-0.01921598770176791,-0.05243991260014569,0.0,-0.05073649754500831,-0.23636437402015043,0.2862176034711029,0.31394107463069354,41.82194616977226,1,1.249092901460314
2025-07-31,0.06108,0.008620689655172376,-0.01921598770176791,-0.05243991260014569,-0.026475037821482528,-0.2704677386853209,0.2468390384413193,0.25884375592774267,46.21380846325166,1,1.2485441575720022
2025-08-03,0.08657,0.06604506604506621,0.008620689655172376,-0.01921598770176791,0.03797851414737474,-0.23104497249852052,0.4772747350437314,0.255094999351208,52.46589716684156,0,1.2569368709540445
2025-08-04,0.03647,-0.03352769679300294,0.06604506604506621,0.008620689655172376,0.010362694300518172,-0.2306785998513341,0.35313090627928756,0.2576483753807026,52.02913631633716,0,1.2643343306071715
2025-08-05,0.05077,-0.019607843137254832,-0.03352769679300294,0.06604506604506621,-0.009297363206828169,-0.2415219279321903,0.27939243237192757,0.25735697243527256,52.46589716684156,1,1.2675864279770461
2025-08-06,0.07865000000000001,0.03461538461538449,-0.019607843137254832,-0.03352769679300294,0.014328808446455454,-0.21296183544647962,0.4269215006319803,0.2339985526365906,39.43850267379679,0,1.268226606516431
2025-08-07,0.04089,-0.031970260223048275,0.03461538461538449,-0.019607843137254832,-0.02031602708803626,-0.2168757706209843,0.3126538854181248,0.23439220444635786,38.815789473684205,1,1.2749204251653476
2025-08-10,0.03905,0.011520737327189057,-0.031970260223048275,0.03461538461538449,-0.0007587253414265138,-0.20343007349218323,0.36663637620626666,0.23654454146224668,44.47632711621234,0,1.274248705708809
2025-08-11,0.02595,-0.01518602885345477,0.011520737327189057,-0.031970260223048275,-0.01158360006096626,-0.20168106485810944,0.31088025523126184,0.23937489451504734,27.708703374777983,0,1.2765089114592578
