date,price,open,high,low,vol,change_pct
2024-07-09,13.38,13.38,13.38,13.38,,0.0
2024-07-10,13.38,13.38,13.38,13.38,,0.0
2024-07-14,13.38,13.38,13.38,13.38,,0.0
2024-07-15,13.38,13.38,13.38,13.38,,0.0
2024-07-16,13.38,13.38,13.38,13.38,,0.0
2024-07-17,13.38,13.38,13.38,13.38,,0.0
2024-07-18,13.38,13.38,13.38,13.38,,0.0
2024-07-21,13.38,13.38,13.38,13.38,,0.0
2024-07-22,13.38,13.38,13.38,13.38,,0.0
2024-07-23,13.38,13.38,13.38,13.38,,0.0
2024-07-24,13.38,13.38,13.38,13.38,,0.0
2024-07-28,13.38,10.71,10.71,10.71,0.00528,0.0
2024-07-29,13.38,10.71,10.71,10.71,0.00033,0.0
2024-07-30,13.38,10.71,10.71,10.71,0.00015,0.0
2024-07-31,13.38,10.71,10.71,10.71,0.0005,0.0
2024-08-05,13.38,10.71,10.71,10.71,2e-05,0.0
2024-08-11,13.38,10.71,10.71,10.71,0.00134,0.0
2024-08-14,13.38,10.71,10.71,10.71,0.0010500000000000002,0.0
2024-08-15,13.38,10.71,10.71,10.71,0.00016,0.0
2024-08-21,13.38,10.71,10.71,10.71,0.0017900000000000001,0.0
2024-08-22,13.38,10.71,10.71,10.71,0.00294,0.0
2024-08-25,13.38,10.71,10.71,10.71,0.00223,0.0
2024-08-27,13.38,10.71,10.71,10.71,0.00149,0.0
2024-08-28,13.38,10.71,10.71,10.71,0.00523,0.0
2024-08-29,13.38,10.71,10.71,10.71,0.006500000000000001,0.0
2024-09-01,13.38,10.71,10.8,10.71,0.008400000000000001,0.0
2024-09-02,13.38,10.76,10.76,10.71,0.008310000000000001,0.0
2024-09-03,13.38,10.71,11.09,10.71,0.02729,0.0
2024-09-04,13.38,10.71,11.49,10.71,0.00175,0.0
2024-09-05,13.38,10.75,11.49,10.75,0.01136,0.0
2024-09-08,13.38,10.76,11.2,10.71,0.006,0.0
2024-09-09,13.38,11.0,11.0,10.71,0.00919,0.0
2024-09-10,13.38,10.75,10.98,10.71,0.00425,0.0
2024-09-11,13.38,10.71,10.71,10.71,1e-05,0.0
2024-09-12,13.38,10.71,10.71,10.71,0.00031,0.0
2024-09-16,13.38,10.71,11.0,10.71,0.00441,0.0
2024-09-17,13.38,10.71,11.0,10.71,0.0017,0.0
2024-09-18,13.38,10.71,10.71,10.71,2e-05,0.0
2024-09-19,13.38,10.71,11.44,10.71,0.004030000000000001,0.0
2024-09-22,13.38,11.0,12.5,11.0,0.0116,0.0
2024-09-23,13.38,11.69,12.0,11.02,0.0089,0.0
2024-09-24,13.38,11.3,12.45,11.18,0.01936,0.0
2024-09-25,13.38,12.43,12.99,11.35,0.01051,0.0
2024-09-26,13.38,11.55,12.4,11.55,0.00754,0.0
2024-09-29,13.38,11.35,12.38,11.35,0.00415,0.0
2024-09-30,13.38,11.5,12.19,11.4,0.02495,0.0
2024-10-01,13.38,11.35,12.45,11.35,0.00484,0.0
2024-10-02,13.38,11.35,12.33,10.85,0.01739,0.0
2024-10-03,13.38,11.11,11.85,11.08,0.00289,0.0
2024-10-07,10.85,11.0,11.8,10.71,0.04732,-18.91
